ID,Weight
OFF_FR_1616,260
OFF_FR_391,230
PDT01004,370
SkuPDT00291,275
SkuOFF_FR_9821,88
SkuPDT00738,221
OFF_FR_1836,402
OFF_FR_1055,220
SkuPDT02377,119
SkuOFF_FR_0774,206
SkuPDT01798,100
C196540,203
SkuPDT01398,92
SkuPDT02419,241
C151037,601
OFF_FR_373,193
OFF_FR_1650,242
PDT01370,287
OFF_FR_1652,665
cms_000030,612
SkuOFF_FR_1897,109
C211040,430
OFF_FR_1185,196
PDT01190,220
OFF_FR_1880,249
OFF_FR_0723,141
OFF_FR_432,286
OFF_FR_1068,452
OFF_FR_1724,576
PDT00311,143
C9924,235
OFF_FR_1770,491
PDT02445,222
SkuOFF_FR_030,133
SkuOFF_FR_1187,85
OFF_FR_1450,427
C151330,133
C229911,163
SkuPDT02009,121
SkuPDT01803,80
SkuPDT02530,108
SkuPDT01269,368
OFF_FR_1837,117
OFF_FR_15085,303
PDT01224,518
OFF_FR_15023,223
PDT00414,273
C112012,412
C215010,197
PDT00104,244
PDT02460,213
OFF_FR_137,220
ViewCreditCardsListAll,578
SkuPDT480580,93
PDT116585,269
OFF_FR_0925,257
OFF_FR_1878,243
OFF_FR_382,363
SkuOFF_FR_15073,92
PDT01299,427
PDT00638,208
C215060,187
OFF_FR_1982,322
PDT08577,234
C2012,804
OFF_FR_1881,246
OFF_FR_1747,182
PDT01388,304
SkuPDT01565,107
OFF_FR_1434,266
OFF_FR_2014,318
OFF_FR_195,231
SkuOFF_FR_405,159
C211010,376
SkuPDT12607,96
SkuOFF_FR_1833,364
PDT01952,151
SkuOFF_FR_1425,98
SkuPDT01932,82
SkuPDT02219,163
C221113,297
SkuOFF_FR_195,168
C195050,263
OFF_FR_15015,347
C1340,874
PDT01626,288
SkuPDT105578,75
C204020,417
cms_000062,174
C211030,374
SkuOFF_FR_284,159
C139340,377
C135020,91
C194015,530
PDT00459,447
PDT01258,344
PDT248586,297
OFF_FR_517,299
PDT02087,161
C212020,415
OFF_FR_1591,111
SkuPDT00379,78
SkuPDT00071,129
SkuPDT02478,103
C212610,197
SkuOFF_FR_1017,97
SkuPDT01571,143
SkuPDT01732,84
PDT00351,302
PDT499582,284
OFF_FR_0791,238
OFF_FR_438,353
OFF_FR_15025,180
PDT01300,191
C183030,138
SkuPDT02511,84
SkuPDT02056,87
PDT00340,241
PDT205580,225
PDT02261,217
PDT00966,244
OFF_FR_1876,219
C131050,308
PDT395591,216
OFF_FR_179,279
C221411,208
SkuOFF_FR_0891,111
SkuPDT01225,111
C9614,154
C196040,182
C9918,347
PDT08579,244
OFF_FR_1072,148
OFF_FR_1044,181
OFF_FR_033,440
PDT02115,180
SkuOFF_FR_1736,90
C202830,169
SkuOFF_FR_141,189
OFF_FR_1957,94
/ubereats/sackraftpoigneesplates70grm2impressionubereats_OFF_FSSACS_UBER,97
PDT417580,295
C121610,592
C1735,589
PDT02470,184
PDT01402,238
PDT00738,403
SkuPDT242582,115
SkuPDT528581,102
SkuOFF_FR_132,272
SkuPDT341581,76
OFF_FR_1651,228
ViewEquipierStepByStepCheckEquipierEmailExists,287
